,log_prc,age,mom_7,mom_21,mom_7_28,r2_1,r31_2,r30_14,close_90dh,log_vol,log_prcvol,std_prcvol,amihud_illiq,volsh_30,retvol_7,rvol_30,beta_30,ivol_30,capm_alpha_30,var_90,skew_90
log_prcvol,0.3103434620051336,0.38624807394641264,0.2742615276099552,0.26426614829740475,0.13066655257391924,0.1405391627234416,0.17158495174228666,0.07449851260037613,0.43042855654037127,-0.005253536264672357,1.0,0.861179307555266,-0.7445601334833842,0.501403869514887,-0.05485343855550012,-0.2815017840382251,-0.03974484861565108,-0.2618782534265796,0.15803318083115428,0.3347288166581673,-0.05878101752875374
std_prcvol,0.27979020004403327,0.34085938781095293,0.272440313069885,0.30612735568882166,0.16829501428898952,0.045384970990270924,0.23713388237417632,0.08367713503450108,0.37634287273391726,-0.015959155977213445,0.861179307555266,1.0,-0.6383328151249157,0.34057512951889646,0.04743556279211014,-0.1781996710866016,-0.04142055984665273,-0.15447797338556343,0.21455349752100175,0.28095921658984896,0.0201908535711471
amihud_illiq,-0.34394170885559383,-0.49050149136109394,-0.07620993050830287,0.017480418836293393,0.08654957960165115,-0.0834434151640267,0.11345179726142125,0.08384060770482181,-0.3599835811664506,0.11580129617579575,-0.7445601334833842,-0.6383328151249157,1.0,-0.1820940938236284,0.4136387723945884,0.6381529961700098,0.18073613133458843,0.6212827792329216,0.1710620345705106,-0.5147663671007867,0.28137065234997627
volsh_30,0.12626302642888101,0.11622641660756956,0.4563444694825845,0.3424932821922612,0.03663287314826069,0.21291959185271958,0.10168231269957186,-0.08290105784729002,0.29812717884818674,0.045129768211793646,0.501403869514887,0.34057512951889646,-0.1820940938236284,1.0,0.17942377706363852,-0.16445372703181843,-0.029126638474038496,-0.1426589124865604,0.15280295670910246,0.17633257391532206,-0.12833404022270312
retvol_7,-0.18440251418801495,-0.3703810037633625,0.2147397814263659,0.21715855797544228,0.09902425867311405,-0.040682861878526426,0.20028274349431216,0.040136557258077625,-0.18887543083814667,0.19668689372966502,-0.05485343855550012,0.04743556279211014,0.4136387723945884,0.17942377706363852,1.0,0.6387638521706096,0.440911901093354,0.5955124553535921,0.27812810004990035,-0.5035322320261794,0.27548593237897906
rvol_30,-0.3358759206407454,-0.5337431203747657,-0.05247351867514673,0.11457663473176795,0.20919182773052555,-0.09538978643590237,0.2547545938306492,0.19588308018740605,-0.38962369568821,0.2699842744837096,-0.2815017840382251,-0.1781996710866016,0.6381529961700098,-0.16445372703181843,0.6387638521706096,1.0,0.46504312917447665,0.8738072366054304,0.3352023276897064,-0.7014338296924792,0.44713134340548505
beta_30,-0.11610259404046103,-0.23959637907503922,-0.03165528478009075,-0.02353883542382324,-0.012857435899021347,-0.02420906193536369,-0.012802557279160732,-0.010978086011207132,-0.2648463153518372,0.13060328160546747,-0.03974484861565108,-0.04142055984665273,0.18073613133458843,-0.029126638474038496,0.440911901093354,0.46504312917447665,1.0,0.2772997927401916,0.027549219084582265,-0.45092600493201845,0.1716699955630947
ivol_30,-0.2913624065677624,-0.47883291570093167,-0.007730355033379957,0.20550917918022338,0.305940399589673,-0.08788840414328604,0.3669844489860577,0.2850453222666277,-0.258083389506487,0.23279415330488404,-0.2618782534265796,-0.15447797338556343,0.6212827792329216,-0.1426589124865604,0.5955124553535921,0.8738072366054304,0.2772997927401916,1.0,0.4493058968897325,-0.5855088849202432,0.46961274211692206
capm_alpha_30,0.01798972503531134,0.01925736612907107,0.3184382039349863,0.6864936284065811,0.7516467053441518,0.07194765221563083,0.8659340767459571,0.6730853595752699,0.3683239117552672,0.03762557159116307,0.15803318083115428,0.21455349752100175,0.1710620345705106,0.15280295670910246,0.27812810004990035,0.3352023276897064,0.027549219084582265,0.4493058968897325,1.0,-0.014351247719860885,0.2269796418939317
var_90,0.31945953631732316,0.5583425964053378,0.13385899941834165,0.11017266030473512,0.054395989302785865,0.09261937628282221,0.05911452458220101,0.040716282620847914,0.5446550796115355,-0.23068282749040706,0.3347288166581673,0.28095921658984896,-0.5147663671007867,0.17633257391532206,-0.5035322320261794,-0.7014338296924792,-0.45092600493201845,-0.5855088849202432,-0.014351247719860885,1.0,-0.29541595969270396
skew_90,-0.1679813278543171,-0.20039784434820274,-0.008137261477123497,0.1143475009433174,0.16082860563679854,-0.049971104158643045,0.20453298207107312,0.13744024902365723,-0.15414987021650048,0.15715852284725246,-0.05878101752875374,0.0201908535711471,0.28137065234997627,-0.12833404022270312,0.27548593237897906,0.44713134340548505,0.1716699955630947,0.46961274211692206,0.2269796418939317,-0.29541595969270396,1.0
